numimpar (array),"i ",i <=20,i %2!== 0,i++,return numimpar
[ ],1,true,true,2,
[1],2,true,false,3,
[1],3,true,true,4,
"[1,3]",4,true,false,5,
"[1,3]",5,true,true,6,
"[1,3,5]",6,true,false,7,
"[1,3,5]",7,true,true,8,
"[1,3,5,7]",8,true,false,9,
"[1,3,5,7]",9,true,"true ",10,
"[1,3,5,7,9]",10,true,false,11,
"[1,3,5,7,9]",11,true,true,12,
"[1,3,5,7,9,11]",12,true,false,13,
"[1,3,5,7,9,11]",13,true,true,14,
"[1,3,5,7,9,11,13]",14,true,false,15,
"[1,3,5,7,9,11,13]",15,true,true,16,
"[1,3,5,7,9,11,13,15]",16,true,false,17,
"[1,3,5,7,9,11,13,15]",17,true,true,18,
"[1,3,5,7,9,11,13,15,17]",18,true,false,19,
"[1,3,5,7,9,11,13,15,17]",19,true,true,20,
"[1,3,5,7,9,11,13,15,17,19]",20,"true ",false,21,
"[1,3,5,7,9,11,13,15,17,19]",21,false,,,"[1,3,5,7,9,11,13,15,17,19]"